area code,population,num_market,num_gyms,num_tube,num_school,num_restuarant,num_bus,cases
E02000209,8833,0,1,0,2,0,11,51
E02000210,8512,1,0,0,3,0,6,56
E02000211,8094,2,0,0,2,4,9,51
E02000212,9306,5,1,0,1,10,8,54
E02000213,11127,5,2,0,4,7,14,69
E02000214,6245,3,1,0,0,1,10,41
E02000215,11321,2,1,0,2,3,13,72
E02000216,6941,0,0,0,3,0,6,48
E02000217,12202,3,3,0,4,11,11,76
E02000218,6782,0,0,0,1,1,10,38
E02000219,7535,1,3,0,5,2,14,49
E02000220,12744,6,3,0,4,33,26,98
E02000221,10834,3,6,0,4,2,22,68
E02000222,8323,0,0,0,1,4,13,58
E02000223,8635,1,0,0,5,0,8,51
E02000224,8016,0,1,0,1,8,10,57
E02000225,7609,1,0,0,1,0,13,48
E02000226,7519,3,1,0,1,3,20,57
E02000227,11492,1,0,0,5,1,22,77
E02000228,7770,1,0,0,2,0,18,57
E02000229,6791,1,1,0,3,4,19,42
E02000230,10536,1,1,0,4,9,19,79
E02000231,7628,4,1,0,2,7,20,60
E02000232,6299,1,1,0,1,0,9,46
E02000233,6525,1,0,0,2,2,12,47
E02000234,8753,0,0,0,3,2,23,73
E02000235,7096,0,1,0,2,0,14,56
E02000236,8014,0,0,0,4,3,13,68
E02000237,7685,0,2,0,4,1,22,54
E02000238,9416,1,1,0,3,2,8,68
E02000239,8823,0,0,0,1,1,4,63
E02000240,10153,0,0,0,3,0,12,72
E02000241,6690,2,2,1,0,0,13,47
E02000242,6862,0,0,0,1,0,4,42
E02000243,8467,3,3,1,4,0,10,54
E02000244,7495,1,0,1,3,3,11,47
E02000245,8441,1,1,0,2,1,3,54
E02000246,8678,3,0,0,3,0,10,59
E02000247,10505,1,1,0,2,0,11,72
E02000248,7676,0,1,2,2,1,15,48
E02000249,7475,2,0,0,2,1,13,51
E02000250,6300,1,0,0,1,1,6,55
E02000251,7475,1,0,0,1,0,8,49
E02000252,11431,6,2,1,1,4,30,82
E02000253,9313,1,0,0,1,0,9,64
E02000254,8402,0,0,0,3,0,7,57
E02000255,9285,2,2,0,4,2,13,78
E02000256,8675,1,3,0,0,7,14,71
E02000257,14438,7,1,3,4,29,14,117
E02000258,6971,1,0,0,0,0,9,53
E02000259,6053,0,2,0,4,2,9,50
E02000260,9334,1,1,0,5,5,15,56
E02000261,11833,2,2,0,1,0,13,85
E02000262,8910,2,2,0,2,1,5,63
E02000263,11887,1,1,0,4,2,2,80
E02000264,8433,4,2,2,2,3,9,64
E02000265,10676,4,1,0,0,1,7,82
E02000266,11456,0,1,0,2,0,21,85
E02000267,7305,1,1,0,2,3,5,63
E02000268,8944,1,1,0,1,6,5,74
E02000269,8021,3,0,1,0,18,3,70
E02000270,7778,1,0,0,6,1,14,70
E02000271,6895,0,1,0,1,1,3,54
E02000272,6470,1,1,2,3,2,4,54
E02000274,14155,1,2,0,5,4,4,96
E02000275,7472,0,0,0,5,2,7,52
E02000276,6532,0,0,0,3,4,6,58
E02000277,7652,1,1,0,1,0,4,42
E02000278,9837,1,0,0,2,6,5,50
E02000279,13053,1,1,0,4,1,9,64
E02000280,8532,4,0,0,6,3,19,58
E02000281,9311,0,0,0,4,1,11,59
E02000282,10054,1,2,0,4,4,10,41
E02000283,8840,1,0,0,1,0,6,42
E02000284,8654,0,2,0,5,12,16,57
E02000285,6435,0,2,0,1,1,12,46
E02000286,8517,2,1,0,0,1,12,56
E02000287,7156,3,1,1,2,12,18,45
E02000288,11338,5,6,0,8,14,20,51
E02000289,6597,0,0,0,2,0,6,43
E02000290,6949,1,1,0,1,1,11,31
E02000291,10253,5,0,0,1,3,20,59
E02000292,9832,1,3,0,3,4,13,54
E02000293,6472,2,2,0,0,3,7,43
E02000294,9425,2,1,0,2,3,6,46
E02000295,9043,2,1,0,3,0,12,58
E02000296,10450,3,1,2,2,6,17,69
E02000297,9620,0,1,0,3,0,11,62
E02000298,8063,3,0,0,1,0,5,56
E02000299,10052,0,1,0,4,9,7,43
E02000300,9036,0,0,0,1,3,2,37
E02000301,11026,1,0,0,0,0,10,43
E02000302,8608,0,1,0,3,0,4,54
E02000303,9154,1,2,0,4,2,8,37
E02000304,8211,0,0,0,3,0,5,51
E02000305,8943,2,1,0,3,0,9,59
E02000306,9208,2,1,0,2,4,7,36
E02000307,10153,0,1,0,1,7,2,48
E02000308,8397,2,1,1,2,0,12,56
E02000309,12354,2,0,0,2,0,12,57
E02000311,10819,0,0,0,4,0,13,52
E02000312,11607,2,1,0,0,0,12,70
E02000313,7539,0,0,0,3,0,4,31
E02000314,16097,4,1,0,6,0,27,80
E02000315,9699,3,1,0,2,0,15,48
E02000316,14525,7,3,0,2,4,19,94
E02000317,8590,0,0,0,3,0,11,41
E02000318,10486,2,1,0,5,0,12,55
E02000319,11881,0,1,0,3,0,16,55
E02000320,7308,1,0,0,2,0,10,38
E02000321,7719,0,1,0,2,1,7,38
E02000323,11327,2,0,0,3,0,11,70
E02000324,7997,1,1,0,4,0,5,46
E02000326,7454,0,1,0,3,0,9,54
E02000327,7147,0,2,0,4,0,19,42
E02000328,6844,0,0,0,2,0,9,52
E02000329,6314,0,0,0,2,0,4,39
E02000331,8237,2,2,0,0,0,7,55
E02000332,7730,0,0,0,2,0,11,44
E02000333,6551,1,2,0,1,0,15,43
E02000334,6613,0,2,0,2,0,12,43
E02000335,6872,0,0,0,1,0,11,46
E02000337,8327,4,0,0,3,1,11,54
E02000339,6320,3,1,0,3,4,16,43
E02000340,6521,3,1,0,3,2,13,45
E02000341,8176,1,1,0,4,0,12,49
E02000342,6214,0,2,0,1,0,6,44
E02000343,6905,0,1,0,2,1,5,46
E02000344,6553,0,0,0,0,2,10,43
E02000345,9694,2,1,0,7,1,4,44
E02000346,7857,1,1,0,2,1,12,56
E02000347,8837,0,0,0,1,0,3,43
E02000348,9047,1,0,0,1,0,6,41
E02000350,10029,0,0,0,4,0,3,59
E02000351,9676,0,0,0,1,2,5,74
E02000352,7290,0,0,0,2,2,6,42
E02000353,8196,3,0,0,1,20,8,53
E02000354,10710,1,1,0,6,6,9,57
E02000355,9283,0,0,0,3,3,11,54
E02000356,7441,0,1,0,4,0,6,54
E02000357,6664,0,0,0,2,0,7,31
E02000358,11894,3,1,0,3,10,5,75
E02000359,6750,0,0,0,1,2,3,46
E02000360,12074,3,1,0,3,0,7,67
E02000361,8966,4,2,0,2,6,10,54
E02000362,7434,0,1,0,1,9,11,43
E02000363,12071,2,1,0,5,2,8,66
E02000364,10317,1,1,0,1,5,6,60
E02000365,15445,3,2,0,6,17,15,97
E02000366,9293,0,0,0,5,6,8,51
E02000367,11594,3,1,0,1,15,10,75
E02000368,10632,2,0,0,3,7,8,57
E02000369,14403,2,1,0,6,6,8,86
E02000370,9966,1,0,0,2,4,8,64
E02000371,16174,6,4,0,3,86,29,100
E02000372,9878,2,2,2,3,3,18,79
E02000373,6740,1,2,0,4,1,2,38
E02000374,6814,1,0,0,2,7,5,48
E02000375,6998,5,1,0,1,26,13,50
E02000376,6907,3,0,3,1,27,3,47
E02000377,8243,3,1,0,4,4,4,54
E02000378,6531,1,2,0,2,5,1,50
E02000379,7850,1,0,0,2,0,7,58
E02000380,5847,0,1,0,2,1,2,42
E02000381,7967,1,3,1,2,8,2,56
E02000382,5917,2,1,1,4,4,8,47
E02000383,8952,3,1,1,3,9,6,67
E02000384,7345,6,4,2,3,12,17,60
E02000385,6024,2,1,1,0,3,2,40
E02000386,8100,2,3,0,2,9,4,53
E02000387,6020,1,4,0,3,1,4,45
E02000388,8697,4,2,1,2,12,2,59
E02000389,8405,4,0,0,3,3,3,64
E02000390,6386,2,0,0,2,0,3,42
E02000391,7986,2,1,0,0,14,12,50
E02000392,9508,4,0,1,3,15,5,58
E02000393,5897,3,1,0,2,2,1,38
E02000394,9177,2,2,0,1,2,7,62
E02000395,6180,0,1,1,2,5,8,40
E02000396,7057,0,2,0,1,5,7,46
E02000397,8579,1,0,0,1,2,2,48
E02000398,7892,0,0,0,1,0,4,28
E02000400,8161,1,0,1,3,1,11,50
E02000401,6721,1,0,0,1,1,8,35
E02000402,6775,0,0,0,3,0,11,30
E02000403,8207,2,4,1,5,3,6,47
E02000404,7868,2,0,0,1,0,9,37
E02000405,6496,0,2,0,3,2,14,51
E02000406,7222,0,0,0,1,0,2,38
E02000407,7687,3,1,0,2,1,5,38
E02000408,8457,0,0,0,1,0,6,40
E02000409,6414,0,1,0,2,0,6,31
E02000410,6708,2,1,0,4,8,1,52
E02000411,10690,1,1,1,2,0,11,54
E02000412,7843,4,2,1,1,5,10,41
E02000413,7631,0,1,0,3,4,7,65
E02000414,7133,0,0,0,0,1,4,41
E02000415,7234,2,0,0,3,1,7,47
E02000416,8024,2,1,0,4,6,4,55
E02000417,6573,2,1,0,2,5,9,52
E02000418,5427,0,0,0,0,2,4,46
E02000419,8956,2,1,0,3,11,5,56
E02000420,8243,2,1,1,0,0,8,45
E02000421,8273,2,3,0,5,1,7,45
E02000422,8461,0,0,0,3,0,7,41
E02000423,7434,1,0,0,5,0,4,45
E02000424,6881,1,2,0,4,2,4,51
E02000425,7867,0,0,0,2,1,3,39
E02000426,6156,0,1,1,2,5,16,48
E02000427,6971,1,2,1,0,9,4,50
E02000428,8197,0,0,0,2,0,4,44
E02000429,7056,4,2,0,1,3,7,50
E02000430,7221,0,1,0,3,15,10,53
E02000431,6223,2,1,0,2,9,6,49
E02000432,6340,0,0,0,1,1,1,45
E02000433,8262,3,1,1,2,4,16,60
E02000434,9619,2,1,1,1,3,7,72
E02000435,7839,0,1,0,1,0,4,53
E02000436,5567,0,0,0,2,8,5,41
E02000437,8564,2,0,0,1,1,8,62
E02000438,7852,2,1,0,3,10,14,64
E02000439,9069,2,1,0,1,0,6,58
E02000440,9561,1,0,0,2,0,6,71
E02000441,7122,1,0,0,1,1,10,52
E02000442,9098,1,2,1,4,1,5,56
E02000443,10261,2,1,0,3,2,1,66
E02000444,8869,1,0,0,3,1,8,54
E02000445,11116,1,1,1,2,4,11,74
E02000447,7161,0,0,0,0,0,9,57
E02000448,7026,3,1,1,1,5,5,53
E02000449,8300,2,0,0,2,1,2,52
E02000451,6653,1,1,1,4,0,9,53
E02000452,8582,1,4,0,2,12,3,70
E02000453,8213,2,0,0,0,0,4,59
E02000454,7090,0,0,0,4,1,6,55
E02000455,9511,4,3,2,2,11,13,90
E02000456,7285,1,0,1,1,0,7,57
E02000457,6616,2,0,1,2,3,5,55
E02000459,9232,2,1,1,2,2,8,66
E02000460,6797,1,0,0,1,0,6,51
E02000461,7480,0,3,1,3,7,14,43
E02000462,6803,4,0,0,0,9,4,49
E02000463,8342,0,0,0,2,3,3,56
E02000464,7703,0,0,0,2,0,10,46
E02000465,9346,0,2,0,4,0,14,61
E02000466,8900,1,0,0,2,0,18,58
E02000467,11227,4,1,0,1,0,10,70
E02000468,8334,3,0,0,2,0,17,54
E02000469,7297,1,0,0,3,0,9,46
E02000470,9123,1,1,0,1,1,21,64
E02000471,7570,0,0,0,3,0,7,48
E02000472,9203,0,0,0,4,0,14,61
E02000473,10391,2,2,0,7,0,10,66
E02000474,9145,3,0,0,4,0,13,60
E02000475,9917,1,1,0,2,0,13,60
E02000476,10228,10,4,0,0,16,22,66
E02000477,9552,1,0,0,4,0,13,63
E02000478,5846,0,1,0,1,0,7,33
E02000479,9445,1,0,0,3,0,8,61
E02000480,12713,2,1,0,3,1,20,84
E02000481,8041,0,0,0,1,0,14,55
E02000482,6505,1,1,1,3,2,19,46
E02000483,7976,3,1,0,2,4,11,51
E02000484,8347,1,2,0,2,0,7,58
E02000485,8627,5,3,1,5,11,14,58
E02000486,7545,1,1,1,2,0,4,52
E02000487,7745,0,2,0,2,3,5,56
E02000488,7281,1,1,0,4,0,7,51
E02000489,8614,3,0,1,1,0,11,62
E02000490,8015,1,0,0,6,0,7,55
E02000491,9838,1,1,0,2,0,21,64
E02000492,6504,0,1,0,1,0,9,37
E02000493,6832,1,0,0,3,0,11,39
E02000494,7696,0,1,0,3,3,9,58
E02000495,10417,2,3,2,3,1,17,72
E02000496,7577,1,1,0,3,2,20,60
E02000497,9291,1,1,0,4,1,12,69
E02000498,6155,2,0,0,3,4,14,47
E02000499,7642,2,0,0,2,3,8,60
E02000500,8287,6,2,2,2,3,14,64
E02000501,8409,1,0,1,5,3,5,67
E02000502,8561,1,0,2,2,2,6,71
E02000503,9126,0,0,0,1,0,4,69
E02000504,7482,1,0,1,3,0,9,62
E02000506,7893,2,2,1,4,0,12,59
E02000507,8251,0,0,0,1,0,10,65
E02000508,11747,0,4,1,4,1,20,94
E02000509,12194,4,2,0,3,5,9,73
E02000510,9105,3,0,0,4,0,10,68
E02000511,9976,2,0,0,2,0,13,69
E02000512,8830,0,0,0,4,0,8,60
E02000513,10049,1,0,0,3,0,11,55
E02000514,10717,2,0,0,2,0,9,61
E02000515,12105,5,1,0,3,0,13,97
E02000516,9192,0,0,0,1,0,3,50
E02000517,10128,0,1,0,5,0,9,64
E02000518,8884,0,1,0,2,0,12,71
E02000519,9245,1,2,0,5,0,12,60
E02000520,13804,3,2,0,4,0,17,90
E02000521,13146,1,2,0,2,0,9,97
E02000522,9624,1,0,0,3,1,12,72
E02000523,11649,3,0,0,0,0,16,77
E02000524,8116,5,6,3,4,30,34,78
E02000525,10269,1,1,0,2,1,10,70
E02000526,8513,2,2,1,0,0,7,64
E02000528,12382,1,2,0,1,1,23,101
E02000529,8957,2,1,0,3,0,5,57
E02000530,7321,3,1,0,1,0,13,49
E02000531,10478,3,3,0,5,2,15,83
E02000532,9011,0,4,0,4,3,8,64
E02000533,8438,1,1,0,3,5,3,62
E02000534,8045,2,1,0,2,1,23,57
E02000535,9282,1,0,0,4,0,10,63
E02000536,9330,0,1,1,4,0,15,65
E02000537,8974,1,2,2,1,1,9,62
E02000538,9627,1,1,0,2,1,9,65
E02000539,10964,1,1,0,8,1,18,94
E02000540,11017,1,1,0,3,0,9,82
E02000541,9664,1,0,0,2,3,11,71
E02000542,11636,4,2,1,5,0,13,85
E02000543,13649,0,1,0,2,1,20,99
E02000544,8172,0,0,0,0,0,6,59
E02000545,8709,3,0,0,2,0,12,65
E02000546,9727,1,1,0,1,1,11,66
E02000547,9965,2,1,0,1,3,12,74
E02000548,10011,1,0,0,4,0,19,77
E02000549,11536,1,1,0,6,2,18,95
E02000550,11066,4,0,0,2,6,9,86
E02000551,9113,1,1,0,2,0,16,66
E02000552,9142,0,2,0,2,3,9,74
E02000553,7212,1,0,0,1,0,15,54
E02000554,10022,0,1,0,3,1,7,64
E02000555,9917,2,1,0,2,1,9,66
E02000556,11405,4,1,1,4,31,5,81
E02000557,8876,2,2,1,2,17,15,60
E02000558,10194,1,1,0,1,6,6,56
E02000559,10524,1,1,1,4,3,5,74
E02000560,9011,3,1,0,2,6,4,58
E02000561,8559,2,1,0,2,6,4,59
E02000562,8839,0,0,0,1,2,6,56
E02000563,8617,2,1,0,2,3,9,58
E02000564,13803,4,3,1,3,15,6,94
E02000565,9054,2,0,0,1,14,12,54
E02000566,9383,4,3,1,2,19,5,64
E02000567,11528,1,0,0,0,8,10,71
E02000568,12909,4,1,1,1,5,9,85
E02000569,11123,3,0,0,3,14,9,69
E02000570,9957,0,0,0,2,19,8,70
E02000571,9191,3,0,0,2,1,4,59
E02000572,9267,5,2,0,5,8,6,49
E02000573,10399,5,5,1,4,51,7,80
E02000574,9588,3,2,0,4,29,4,66
E02000575,15138,5,4,1,2,71,14,88
E02000576,11838,7,8,1,4,30,9,89
E02000577,6753,1,1,1,6,9,9,41
E02000578,5849,0,2,0,4,0,6,30
E02000579,8145,3,2,2,1,0,6,49
E02000580,8002,2,2,0,0,20,4,47
E02000581,6622,1,2,0,5,2,6,33
E02000582,7267,3,0,1,0,24,7,50
E02000583,6956,1,0,1,1,8,3,41
E02000584,8043,2,5,1,2,23,8,55
E02000585,8024,1,0,0,2,9,9,56
E02000586,7663,0,0,0,0,14,8,55
E02000587,7434,3,1,0,1,10,4,52
E02000588,7856,1,1,1,1,24,6,50
E02000589,8684,2,3,0,0,11,1,57
E02000590,6861,1,3,1,3,28,8,37
E02000591,6823,2,0,1,1,9,3,51
E02000592,6907,3,2,1,1,31,11,51
E02000593,8088,1,0,1,2,11,5,45
E02000594,7780,1,0,0,1,9,10,39
E02000595,7507,2,1,0,2,13,12,38
E02000596,7700,5,3,0,3,11,7,48
E02000597,7233,1,1,0,2,1,7,38
E02000598,8196,0,2,0,4,0,12,64
E02000599,8452,0,1,0,3,0,17,49
E02000600,9553,1,0,0,1,2,6,72
E02000601,13059,3,1,0,4,2,9,102
E02000602,11592,1,1,0,3,3,14,78
E02000603,8817,2,1,0,2,1,13,69
E02000604,9329,3,2,0,2,12,5,84
E02000605,8338,0,1,0,3,0,6,72
E02000606,11179,5,6,0,3,8,35,81
E02000607,8004,0,1,0,0,0,10,59
E02000608,7572,4,1,0,3,9,11,53
E02000609,7692,2,2,0,2,4,11,59
E02000610,8091,1,0,0,3,0,8,66
E02000611,7360,1,0,0,3,0,7,65
E02000612,8182,1,2,0,3,0,5,64
E02000613,8328,3,0,0,3,0,6,71
E02000614,9075,2,1,0,1,0,10,74
E02000615,7718,3,1,0,3,1,8,61
E02000616,6003,0,0,0,1,0,4,52
E02000617,8930,2,3,0,2,1,18,67
E02000619,9094,1,2,1,3,5,6,57
E02000620,10516,2,1,0,2,14,13,71
E02000621,11724,5,4,1,6,7,10,97
E02000622,8969,0,1,1,2,9,8,58
E02000623,8115,1,0,0,3,3,3,48
E02000624,8913,2,1,0,3,2,3,60
E02000625,8385,4,1,1,2,4,5,54
E02000626,8437,1,2,0,1,0,6,44
E02000627,9997,0,0,0,1,3,6,62
E02000628,9764,2,2,0,2,34,8,62
E02000629,9265,2,2,1,0,13,9,62
E02000630,8063,4,1,1,2,16,12,51
E02000631,9431,2,1,0,1,1,9,68
E02000632,9380,2,0,0,1,2,4,68
E02000633,9169,3,0,1,3,11,17,51
E02000634,6880,1,0,0,4,8,8,40
E02000635,9228,2,2,0,3,10,15,65
E02000636,8228,2,1,0,4,7,6,56
E02000637,9045,3,0,0,4,2,1,62
E02000638,10838,2,0,0,4,3,5,69
E02000639,8255,2,1,0,2,0,7,51
E02000640,9853,0,0,0,5,0,9,67
E02000641,8745,0,0,0,3,0,3,52
E02000642,9856,2,0,0,2,4,12,65
E02000643,9561,4,0,0,0,0,8,64
E02000644,9058,5,1,0,2,5,6,60
E02000645,9773,0,1,0,2,3,11,72
E02000646,10411,4,3,0,1,5,7,66
E02000647,9293,0,0,0,2,0,11,62
E02000648,8397,1,1,0,5,1,8,51
E02000649,13570,3,2,0,2,0,13,77
E02000650,7795,3,0,0,1,16,8,54
E02000651,9114,2,0,0,1,1,10,59
