area code,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1
E02000066,213,136,57,67,53,49,28,16,12,14,30,39,42,31,28,13,12,6
E02000067,270,161,88,66,55,48,27,24,24,25,48,60,63,54,28,22,9,8
E02000068,163,127,59,56,41,46,27,34,14,17,26,41,39,39,18,13,7,5
E02000069,161,126,53,37,64,32,30,24,12,30,45,42,40,36,24,11,8,9
E02000070,142,97,77,41,60,45,20,27,29,51,52,56,65,41,28,9,8,8
E02000071,170,104,84,78,60,33,19,31,18,34,49,54,54,43,27,21,15,10
E02000072,299,241,112,112,80,60,45,27,24,33,56,54,56,62,35,14,6,12
E02000073,283,170,74,105,90,90,49,31,19,27,54,69,81,60,22,27,20,7
E02000074,191,177,79,85,51,56,34,30,20,34,44,42,55,40,26,16,10,9
E02000075,176,110,67,84,84,61,20,16,8,29,50,63,74,42,26,23,10,6
E02000077,221,144,72,61,68,51,28,27,16,19,52,45,60,43,33,14,8,8
E02000078,175,126,61,79,63,50,38,29,30,47,51,63,70,50,37,13,16,7
E02000079,210,136,84,89,91,61,52,27,29,36,52,80,86,59,35,17,10,6
E02000080,238,189,63,97,81,66,62,49,35,32,56,68,78,40,25,10,14,8
E02000081,183,126,90,78,109,56,37,21,16,27,56,66,61,48,29,21,23,10
E02000082,236,117,95,77,83,62,41,32,27,33,70,69,63,48,45,19,11,3
E02000083,269,195,142,89,93,70,47,29,26,41,61,61,72,75,44,22,19,13
E02000084,238,162,133,96,96,47,45,47,20,42,82,88,83,53,36,23,13,13
E02000085,189,125,54,64,69,51,31,25,13,22,42,53,59,42,23,16,13,6
E02000086,172,102,53,52,57,30,35,10,21,33,41,47,54,27,19,9,19,4
E02000087,171,108,53,64,65,48,28,30,18,26,55,88,63,58,32,15,12,0
E02000088,194,86,60,52,54,57,41,36,34,47,56,81,54,49,26,14,14,9
E02000089,193,129,69,72,84,59,26,34,26,35,51,72,77,33,36,25,13,9
E02000090,242,172,79,80,73,65,41,48,25,32,68,65,83,55,37,16,25,9
E02000091,222,147,102,74,99,66,45,35,32,40,77,73,66,82,45,22,17,11
E02000092,155,106,71,57,63,37,18,16,21,20,32,50,56,42,20,17,7,8
E02000093,217,223,161,158,111,83,55,28,17,29,46,42,43,40,26,15,20,13
E02000094,215,186,126,88,99,58,64,31,28,35,29,34,56,44,22,13,12,16
E02000095,224,201,109,121,108,53,36,26,27,23,41,39,49,33,26,16,18,6
E02000096,155,140,102,68,81,68,24,20,19,22,32,68,49,38,13,15,11,9
